Name,Comment_text,Time,Likes,Reply Count
Jennifer Yousaf,I love this song🥰🥰,2021-03-22T16:24:02Z,0,0
Abrar Ahmed Mirza,Shani Arshad Big Star of Pakistan.,2021-03-22T16:18:28Z,0,0
ranjit ranjit,Sallla dil.  ma gud gudi hoti ha song ko sun k.<br />Very deep song for heartbrokn peoples.😭😭😭😭😭😭,2021-03-22T15:49:48Z,0,0
Soni Khan,💞💞💞,2021-03-22T15:43:31Z,0,0
Mahib Gujjar,Ost is awesome,2021-03-22T13:49:45Z,1,0
Faiza Siddique,Zbrdst h 💞💞💞💞,2021-03-22T13:39:33Z,1,0
Zouha Faitma,My favourite song is fitoor<br /><br />💝💝💝💝💝💝💓💓💓💓💓💙💙💔💔💔💔💔💔💔💔💘💝💟💟💞💞💞💖💕💔💔💔💔💔💔💔💔💔💔,2021-03-22T13:21:37Z,0,0
anas ansari,Isey  sunkar meri bf ki yaad aati hai,2021-03-22T12:52:12Z,0,0
Rani taj Rani taj,My favorite song 😍,2021-03-22T12:37:16Z,0,0
Haider Zaman,Nice,2021-03-22T12:13:04Z,0,0
Malik Shareef,I have listen this ost for almost 100time  I love this ost,2021-03-22T11:46:52Z,0,0
Malik Shareef,Every single line of this song have a influence,2021-03-22T11:44:31Z,0,0
Juned ansari Juned ansari,Nice 👍,2021-03-22T11:39:16Z,0,0
Daryan singh Rajput,This song is heart touching 😋😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2021-03-22T11:38:51Z,0,0
Noorfatima Fatima,Yar mujhy tu love shav py koi yaqeen       nahi,2021-03-22T11:23:09Z,0,0
muhammad shehryar manzoor,This song deserved millons of likes,2021-03-22T11:13:02Z,0,0
Fardeen Faizan,"<a href=""https://www.youtube.com/watch?v=WHrcrfNAIqQ&amp;t=4m16s"">4:16</a> whose that two I think in this scene the girl whose shown will bee married with Hamza baba",2021-03-22T11:07:09Z,3,0
Khizar Khan,67,2021-03-22T11:02:24Z,0,0
Aatifa Eqbal,Heart touching song  .......😍,2021-03-22T10:59:29Z,0,0
Noorfatima Fatima,Yar mujhy hamza par bht tars ata hai,2021-03-22T10:59:29Z,0,0
Noorfatima Fatima,Faisal sir tusi Punjabi boldy bht soony lagdy o,2021-03-22T10:55:13Z,0,0
Noorfatima Fatima,Faisal sir is so cute,2021-03-22T10:50:24Z,0,0
BARYAL YOUTUBE CHANNEL,This song deserve 100m views,2021-03-22T10:27:04Z,0,0
Ahmad Saad,vary  nice,2021-03-22T10:03:43Z,0,0
Nasra Kamil,Jis se ishq hota h Bo bichad kyu jata h 😭😭😭😭😭,2021-03-22T10:00:41Z,0,0
NAZIA JAAN,what a song shani my lover has left me so i listned this song,2021-03-22T09:40:13Z,2,1
Shahid Bhatti,My favourite song😍😍😍,2021-03-22T09:31:27Z,0,0
MM PLAYZ,Faysal Qureshi pe to Acting End hoti ha 🔥,2021-03-22T09:23:44Z,5,0
Saad Rao,Only broken heart feel this song no one else 😭😭,2021-03-22T09:07:49Z,31,3
Saad Rao,Wo mila ku tha agr us se bicharna tha  😭😭😭😭😭heart touching line,2021-03-22T09:05:39Z,17,1
Shabista Parveen,Nice hearttouching song,2021-03-22T09:03:59Z,0,0
Gulafsha Siddiqui,Nice song,2021-03-22T08:49:27Z,0,0
Ibrahim Khan,😐,2021-03-22T08:34:53Z,0,0
ali sher,NIEC SONG,2021-03-22T08:34:20Z,0,0
Being Beautiful,So beautiful,2021-03-22T08:19:13Z,0,0
